keys,cpu,memory,conn,clients,QPS,average,slowest,fastest,time out,total
100000,1,1Gi,1000,10000,1480.4923,5.143,35.0587,0.0229,19888,69.7246
300000,1,1Gi,1000,10000,1168.7073,6.6483,48.0112,0.0205,63491,202.3535
500000,1,1Gi,1000,10000,1143.3917,6.7405,50.2997,0.0016,105123,345.3156
100000,2,2Gi,1000,10000,3450.3942,2.8001,3.73456,0.0103,0,28.9822
300000,2,2Gi,1000,10000,3423.7833,2.8882,3.678,0.0067,0,87.6224
500000,2,2Gi,1000,10000,3412.4737,2.909,3.9891,0.0187,0,146.5213
100000,4,4Gi,1000,10000,7321.7491,1.3077,2.118,0.0049,0,13.6579
300000,4,4Gi,1000,10000,7161.8664,1.3711,2.1622,0.008,0,41.8885
500000,4,4Gi,1000,10000,7115.3998,1.3905,2.0551,0.0354,0,70.2701
100000,1,1Gi,1000,5000,1767.1289,2.7699,18.55552,0.0011,0,56.589
300000,1,1Gi,1000,5000,1665.6719,2.9846,6.5881,0.0651,0,180.1075
500000,1,1Gi,1000,5000,1658.0593,3.0047,6.6312,0.0046,0,301.5574
100000,2,2Gi,1000,5000,3330.6031,2.3796,2.3796,0.0017,0,30.0246
300000,2,2Gi,1000,5000,3174.4335,1.5638,2.2291,0.0052,0,94.5051
500000,2,2Gi,1000,5000,3184.8872,1.5623,2.3118,0.0114,0,156.9914
100000,4,4Gi,1000,30000,7605.5383,3.429,5.7915,0.0093,0,13.1483
300000,4,4Gi,1000,30000,7461.6946,3.8659,6.0607,0.0328,0,40.2053
500000,4,4Gi,1000,30000,6825.4752,4.277,18.9827,0.0053,1364,73.0551
100000,1,1Gi,1000,8000,1300,4.8164,15.3027,0.0018,8987,69.9631
300000,1,1Gi,1000,8000,1596.7433,4.7589,25.0027,0.0176,10665,181.2032
500000,1,1Gi,1000,8000,1631.9245,4.771,19.1947,0.007,10174,300.1524
100000,2,2Gi,1000,8000,3296.6409,2.3593,201756,0.0142,0,30.3339
300000,2,2Gi,1000,8000,3331.1391,2.3786,3.5438,0.017,0,90.0593
500000,2,2Gi,1000,8000,3253.8805,2.4424,3.2312,0.0048,0,153.6627
100000,4,4Gi,1000,20000,7201.4218,2.5321,3.689,0.003,0,13.8861
300000,4,4Gi,1000,20000,7004.8013,2.7753,4.0707,0.0016,0,42.8278
500000,4,4Gi,1000,20000,6967.7525,2.82,4.0491,0.0021,0,71.7592
